#***********************************************************#
# If you used results from CATS queries in your papers, we'd#
# be grateful to know where your paper will appear, and for #
# adding to your paper the following reference:             #
#---------------------------------------------------------- #
# The authors made use of the database CATS (Verkhodanov    #
# et al., 1997) of the Special Astrophysical Observatory.   #
#                                                           #
#   Verkhodanov O.V., Trushkin S.A., Andernach H.,          #
#      Chernenkov V.N. 1997. The CATS database to operate   #
#      with astrophysical catalogs. In "Astronomical Data   #
#      Analysis Software and Systems VI".                   #
#      Editors: Gareth Hunt and H. E. Payne                 #
#      ASP Conference Series, Vol. 125, P.322-325.          #
#***********************************************************#
# TASK: matching
# Search circle of radius of 3600 arcsec
# default input  epoch: J2000.0
# default output epoch: J2000.0
# 
# cat     name            RA         eRA       Dec       eDec     freq    Flux(Jy)   eFl  equi.    dist," pa,^
#-------------------------------------------------------------------------------------------------------------
#OBJECT: 3C343.1 16:38:28.21 62:34:44.31 2000
NVSS   J163520+622806     16 35 20.144      n   62 28 06.03     n     1400    0.0045    .0005 J       1363.4  107
NVSS   J163520+624616     16 35 20.163      n   62 46 16.71     n     1400    0.0078    .0005 J       1464.5   62
NVSS   J163520+623657     16 35 20.504      n   62 36 57.31     n     1400     0.006    .0005 J       1301.8   84
NVSS   J163526+623858     16 35 26.985      n   62 38 58.35     n     1400    0.0082    .0013 J       1274.4   79
NVSS   J163527+622023     16 35 27.861      n   62 20 23.16     n     1400    0.0023    .0005 J       1522.7  124
NVSS   J163529+631507     16 35 29.603      n   63 15 07.50     n     1400    0.0029    .0006 J       2706.6   26
NVSS   J163530+623239     16 35 30.633      n   62 32 39.14     n     1400    0.0037    .0005 J       1234.4   96
NVSS   J163545+624352     16 35 45.779      n   62 43 52.45     n     1400    0.0051    .0005 J       1243.6   64
NVSS   J163550+624514     16 35 50.488      n   62 45 14.25     n     1400    0.0055    .0005 J       1252.9   60
NVSS   J163550+622916     16 35 50.913      n   62 29 16.42     n     1400    0.0036    .0005 J       1138.1  107
NVSS   J163556+620533     16 35 56.487      n   62 05 33.45     n     1400     0.186    .0012 J       2049.4  149
NVSS   J163557+623259     16 35 57.472      n   62 32 59.71     n     1400    0.0036    .0005 J       1047.5   96
NVSS   J163558+615737     16 35 58.472      n   61 57 37.53     n     1400    0.0109    .0009 J       2464.4  155
NVSS   J163558+624739     16 35 58.686      n   62 47 39.41     n     1400    0.0026    .0005 J       1285.3   53
NVSS   J163600+615516     16 36 00.934      n   61 55 16.59     n     1400    0.0078    .0011 J       2585.9  156
NVSS   J163602+630824     16 36 02.816      n   63 08 24.96     n     1400    0.0028    .0005 J         2248   26
NVSS   J163607+632606     16 36 07.315      n   63 26 06.55     n     1400    0.0042    .0006 J       3223.8   17
NVSS   J163613+632439     16 36 13.788      n   63 24 39.84     n     1400    0.0037    .0006 J       3128.5   17
NVSS   J163613+613741     16 36 13.985      n   61 37 41.98     n     1400    0.0183    .0006 J       3553.5  164
NVSS   J163615+614239     16 36 15.584      n   61 42 39.57     n     1400    0.0184    .0005 J       3263.8  163
NVSS   J163618+621657     16 36 18.520      n   62 16 57.46     n     1400    0.0024    .0005 J       1398.8  140
NVSS   J163620+630543     16 36 20.078      n   63 05 43.14     n     1400    0.0028    .0006 J       2052.2   25
NVSS   J163623+623447     16 36 23.102      n   62 34 47.92     n     1400    0.0036    .0006 J        864.2   90
NVSS   J163624+615730     16 36 24.622      n   61 57 30.95     n     1400    0.0031    .0005 J       2397.3  159
NVSS   J163626+632105     16 36 26.120      n   63 21 05.59     n     1400    0.1454    .0050 J         2900   16
NVSS   J163626+624239     16 36 26.731      n   62 42 39.49     n     1400    0.0024    .0006 J        961.1   60
NVSS   J163635+632213     16 36 35.447      n   63 22 13.75     n     1400    0.0025    .0005 J       2948.5   15
NVSS   J163639+623041     16 36 39.363      n   62 30 41.56     n     1400    0.0099    .0016 J        791.7  108
NVSS   J163642+622524     16 36 42.652      n   62 25 24.73     n     1400    0.0047    .0005 J        922.1  127
NVSS   J163644+614733     16 36 44.491      n   61 47 33.63     n     1400    0.0071    .0005 J       2924.6  165
NVSS   J163648+620433     16 36 48.455      n   62 04 33.62     n     1400    0.0071    .0005 J       1941.5  159
NVSS   J163650+620219     16 36 50.034      n   62 02 19.36     n     1400    0.0035    .0006 J       2063.8  160
NVSS   J163650+631116     16 36 50.124      n   63 11 16.25     n     1400    0.0039    .0005 J       2290.2   17
NVSS   J163651+623328     16 36 51.144      n   62 33 28.13     n     1400    0.0069    .0013 J        675.3   96
NVSS   J163702+631455     16 37 02.546      n   63 14 55.72     n     1400    0.0038    .0006 J       2479.8   13
NVSS   J163704+620811     16 37 04.864      n   62 08 11.24     n     1400    0.0035    .0005 J       1696.8  160
NVSS   J163713+624012     16 37 13.429      n   62 40 12.91     n     1400    0.0039    .0006 J        610.8   57
NVSS   J163715+623219     16 37 15.399      n   62 32 19.00     n     1400    0.0023    .0005 J        524.1  106
NVSS   J163715+623343     16 37 15.652      n   62 33 43.73     n     1400    0.0039    .0007 J        505.1   97
NVSS   J163718+621358     16 37 18.888      n   62 13 58.30     n     1400     0.004    .0005 J       1336.8  159
NVSS   J163727+621643     16 37 27.871      n   62 16 43.58     n     1400    0.0088    .0010 J       1159.8  159
NVSS   J163731+630132     16 37 31.858      n   63 01 32.05     n     1400    0.0064    .0016 J       1652.8   13
NVSS   J163732+632148     16 37 32.389      n   63 21 48.08     n     1400    0.0022    .0023 J       2848.6    8
NVSS   J163739+625558     16 37 39.425      n   62 55 58.31     n     1400     0.006    .0005 J       1316.7   15
NVSS   J163742+613600     16 37 42.993      n   61 36 00.68     n     1400    0.0068    .0005 J       3538.3  175
NVSS   J163746+622052     16 37 46.867      n   62 20 52.73     n     1400    0.0051    .0031 J        879.9  161
NVSS   J163751+624912     16 37 51.040      n   62 49 12.43     n     1400    0.0035    .0034 J        904.7   16
NVSS   J163754+622601     16 37 54.371      n   62 26 01.32     n     1400    0.0031    .0005 J        573.3  156
NVSS   J163759+623418     16 37 59.896      n   62 34 18.32     n     1400    0.0023    .0005 J        197.3   98
NVSS   J163805+623915     16 38 05.270      n   62 39 15.98     n     1400    0.0026    .0013 J        314.3   30
NVSS   J163810+625843     16 38 10.727      n   62 58 43.41     n     1400    0.0037    .0005 J         1444    5
NVSS   J163812+623043     16 38 12.581      n   62 30 43.19     n     1400     0.034    .0017 J        264.2  156
NVSS   J163816+620854     16 38 16.411      n   62 08 54.22     n     1400    0.0031    .0005 J       1552.2  177
NVSS   J163820+615708     16 38 20.405      n   61 57 08.00     n     1400    0.0064    .0005 J       2256.9  179
